location,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh,Kampung Ayer Keroh
lat,2.33324,2.33324,2.33324,2.33324
lon,102.18750,102.18750,102.18750,102.18750
asl,22.146,22.146,22.146,22.146
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kampung Ayer Keroh Temperature [2 m elevation corrected],Kampung Ayer Keroh Precipitation Total,Kampung Ayer Keroh Wind Speed [10 m],Kampung Ayer Keroh Wind Direction [10 m]
20200918T1200,27.720945,0.4,10.853866,185.71059
20200918T1300,27.840946,0.3,10.182337,188.1301
20200918T1400,28.480946,0.2,9.826088,188.42697
20200918T1500,28.300945,0.2,9.114471,189.09027
20200918T1600,28.060946,0.3,9.028754,184.57391
20200918T1700,27.880945,0.2,8.287822,182.48955
20200918T1800,28.010946,0.0,7.5685663,177.27368
20200918T1900,26.750946,0.0,4.3349743,175.23636
20200918T2000,26.410946,0.0,3.6179552,174.28941
20200918T2100,26.240946,0.0,3.219938,153.43495
20200918T2200,26.140945,0.0,1.8,126.869896
20200918T2300,25.990946,0.0,1.8,89.99999
20200919T0000,25.860947,0.0,1.8,89.99999
20200919T0100,25.850946,0.3,2.52,89.99999
20200919T0200,25.870947,0.8,2.2768397,108.434944
20200919T0300,25.860947,1.1,2.3051248,141.34018
20200919T0400,25.820946,0.0,1.9386592,158.1986
20200919T0500,25.340946,0.0,2.9024127,172.87498
20200919T0600,25.160946,0.0,3.2599385,186.3402
20200919T0700,25.030947,0.0,2.6208394,195.9454
20200919T0800,26.410946,0.0,2.16,180.0
20200919T0900,27.080946,0.1,7.208994,177.13759
20200919T1000,27.910946,0.3,8.557102,165.37912
20200919T1100,28.860947,0.0,9.0645685,173.15723
20200919T1200,29.040947,0.0,9.826088,171.57303
20200919T1300,29.310946,0.0,9.904906,160.90651
20200919T1400,29.710945,0.0,9.504273,155.37643
20200919T1500,29.680946,0.0,8.891343,148.24051
20200919T1600,28.930946,0.0,8.435069,140.19443
20200919T1700,28.480946,0.0,6.638072,130.60129
20200919T1800,29.010946,0.0,5.95906,115.01689
20200919T1900,27.700947,0.0,3.96,89.99999
20200919T2000,27.010946,0.0,3.671294,78.69006
20200919T2100,26.550945,0.0,2.968636,165.96376
20200919T2200,26.240946,0.0,1.9386592,158.1986
20200919T2300,25.900946,0.0,1.5273507,135.0
20200920T0000,25.720945,0.0,1.0182338,135.0
20200920T0100,25.590946,0.0,0.0,180.0
20200920T0200,25.510946,0.0,0.71999997,270.0
20200920T0300,25.480946,0.0,1.2979984,236.30994
20200920T0400,25.500946,0.0,0.71999997,180.0
20200920T0500,25.470945,0.0,1.8,89.99999
20200920T0600,25.210945,0.0,3.2399998,89.99999
20200920T0700,25.100946,0.0,3.6179552,95.71059
20200920T0800,25.770947,0.0,3.96,89.99999
20200920T0900,27.060946,0.0,2.8799999,89.99999
20200920T1000,27.710945,1.0,4.198285,120.96376
20200920T1100,27.770947,1.1,5.4833565,113.19859
20200920T1200,27.560946,1.0,5.6920996,108.434944
20200920T1300,27.580946,0.7,5.2416787,105.9454
20200920T1400,28.590946,0.0,4.1046314,105.25512
20200920T1500,28.140945,0.0,2.52,89.99999
20200920T1600,29.060946,0.0,2.5959969,56.30993
20200920T1700,29.060946,0.0,4.39436,34.99202
20200920T1800,29.010946,0.0,5.1165614,39.2894
20200920T1900,28.110947,0.0,4.1046314,52.125
20200920T2000,27.610947,0.0,4.829907,63.43495
20200920T2100,26.710945,0.0,3.6179552,5.7105865
20200920T2200,26.250946,0.0,4.6938252,4.398697
20200920T2300,25.470945,0.0,4.5536795,341.56506
20200921T0000,24.900946,0.0,4.896529,342.89728
20200921T0100,24.720945,0.0,4.5536795,341.56506
20200921T0200,24.630945,0.0,3.8939953,326.30994
20200921T0300,24.310946,0.0,3.563818,315.0
20200921T0400,24.180946,0.0,3.096837,305.5377
20200921T0500,24.260946,0.0,1.5273507,315.0
20200921T0600,24.310946,0.0,1.08,360.0
20200921T0700,24.350946,0.0,0.71999997,89.99999
20200921T0800,25.430946,0.0,1.2979984,123.69006
20200921T0900,26.470945,0.0,1.609969,296.56506
20200921T1000,27.430946,0.0,1.8,233.1301
20200921T1100,27.840946,0.0,2.4149535,206.56505
20200921T1200,27.740946,0.7,3.2399998,180.0
20200921T1300,27.600946,0.8,4.3349743,184.76364
20200921T1400,27.580946,0.3,5.2416787,195.9454
20200921T1500,27.790947,0.3,6.12,180.0
20200921T1600,27.350946,0.3,6.2145634,169.99202
20200921T1700,27.050945,0.3,6.28713,156.37062
20200921T1800,27.370947,0.4,5.3999996,143.1301
20200921T1900,26.170946,0.0,5.1165614,140.71059
20200921T2000,25.410946,0.0,5.6233797,140.19443
20200921T2100,25.130945,0.0,5.6233797,140.19443
20200921T2200,24.850946,0.0,5.315336,151.69923
20200921T2300,24.510946,0.4,4.6938252,175.60129
